Country,Country code,Elderly_pop
Aruba,ABW,14.6057733735459
Africa Eastern and Southern,AFE,3.18006852692482
Afghanistan,AFG,2.6490696522272
Africa Western and Central,AFW,2.78664758406628
Angola,AGO,2.19146242080635
Albania,ALB,14.7045813168893
Andorra,AND,
Arab World,ARB,4.75913201944706
United Arab Emirates,ARE,1.26440765501746
Argentina,ARG,11.3665118336064
Armenia,ARM,11.8028794803531
American Samoa,ASM,
Antigua and Barbuda,ATG,9.3322713394398
Australia,AUS,16.2130580672445
Austria,AUT,19.2040036427437
Azerbaijan,AZE,6.74162212574058
Burundi,BDI,2.38013742407565
Belgium,BEL,19.2542328598609
Benin,BEN,3.27846608156262
Burkina Faso,BFA,2.41102912448209
Bangladesh,BGD,5.22700361322017
Bulgaria,BGR,21.4679255574449
Bahrain,BHR,2.65119080851564
"Bahamas, The",BHS,7.74811567372929
Bosnia and Herzegovina,BIH,17.9157704219587
Belarus,BLR,15.5801955335848
Belize,BLZ,5.00845010914724
Bermuda,BMU,
Bolivia,BOL,7.48720489751539
Brazil,BRA,9.59227461561959
Barbados,BRB,16.7022183558069
Brunei Darussalam,BRN,5.5700959360335
Bhutan,BTN,6.20470497973064
Botswana,BWA,4.51219517380945
Central African Republic,CAF,2.79812670052199
Canada,CAN,18.1043615051754
Central Europe and the Baltics,CEB,19.4401801514477
Switzerland,CHE,19.0975411751085
Channel Islands,CHI,17.9158302801631
Chile,CHL,12.2426574192226
China,CHN,11.9682712029347
Cote d'Ivoire,CIV,2.88256919311703
Cameroon,CMR,2.7161558092875
"Congo, Dem. Rep.",COD,3.0186708888426
"Congo, Rep.",COG,2.76275093161815
Colombia,COL,9.06056222316456
Comoros,COM,3.10579219665111
Cabo Verde,CPV,4.78572340720197
Costa Rica,CRI,10.2530997515173
Caribbean small states,CSS,9.22912630594756
Cuba,CUB,15.8934142377564
Curacao,CUW,17.6668108938224
Cayman Islands,CYM,
Cyprus,CYP,14.4088046720155
Czech Republic,CZE,20.1429902620987
Germany,DEU,21.6874493682811
Djibouti,DJI,4.70647773279352
Dominica,DMA,
Denmark,DNK,20.1639894465007
Dominican Republic,DOM,7.52769888393248
Algeria,DZA,6.74292726075119
East Asia & Pacific (excluding high income),EAP,10.3428273864187
Early-demographic dividend,EAR,6.12566581173667
East Asia & Pacific,EAS,11.5880902261394
Europe & Central Asia (excluding high income),ECA,12.6018216435735
Europe & Central Asia,ECS,16.8999479298204
Ecuador,ECU,7.59109505644544
"Egypt, Arab Rep.",EGY,5.33168102488778
Euro area,EMU,21.1350562758339
Eritrea,ERI,
Spain,ESP,19.9776116999208
Estonia,EST,20.3732279962459
Ethiopia,ETH,3.53689378588288
European Union,EUU,20.7800848357835
Fragile and conflict affected situations,FCS,3.51232554843517
Finland,FIN,22.5544875034292
Fiji,FJI,5.81742326634651
France,FRA,20.7534554101127
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,4.39042626257357
Gabon,GAB,3.52881341615845
United Kingdom,GBR,18.6533467108562
Georgia,GEO,15.2533097762014
Ghana,GHA,3.14034977057208
Gibraltar,GIB,
Guinea,GIN,2.95231898464874
"Gambia, The",GMB,2.53141929301005
Guinea-Bissau,GNB,2.88577089137658
Equatorial Guinea,GNQ,2.38142246709694
Greece,GRC,22.2843899686215
Grenada,GRD,9.79266461079068
Greenland,GRL,
Guatemala,GTM,5.04203941510534
Guam,GUM,10.5341430899126
Guyana,GUY,6.99953722067962
High income,HIC,18.6458329440182
"Hong Kong SAR, China",HKG,18.1967648043926
Honduras,HND,4.97320085491529
Heavily indebted poor countries (HIPC),HPC,3.07010468328667
Croatia,HRV,21.2522352382927
Haiti,HTI,5.17466828408577
Hungary,HUN,20.1631079450426
IBRD only,IBD,9.09125376677395
IDA & IBRD total,IBT,7.66411938470689
IDA total,IDA,3.59824723415727
IDA blend,IDB,3.49350863136116
Indonesia,IDN,6.26251338481323
IDA only,IDX,3.65133674745473
Isle of Man,IMN,
India,IND,6.57388867644794
Not classified,INX,
Ireland,IRL,14.5779505227647
"Iran, Islamic Rep.",IRN,6.56435458647845
Iraq,IRQ,3.44273041454691
Iceland,ISL,15.6220054330785
Israel,ISR,12.4143452715517
Italy,ITA,23.3018929993944
Jamaica,JAM,9.07777237825492
Jordan,JOR,3.95369697193039
Japan,JPN,28.3972730704411
Kazakhstan,KAZ,7.9028021260597
Kenya,KEN,2.50918631382811
Kyrgyz Republic,KGZ,4.72789363285432
Cambodia,KHM,4.85284824748422
Kiribati,KIR,4.21518807189679
St. Kitts and Nevis,KNA,
"Korea, Rep.",KOR,15.7909063699764
Kuwait,KWT,3.03580013070852
Latin America & Caribbean (excluding high income),LAC,8.79737537132975
Lao PDR,LAO,4.25917730044148
Lebanon,LBN,7.54904625266191
Liberia,LBR,3.3184773812346
Libya,LBY,4.52581552348525
